year month day nasdaq oil
2.019000000000000000e+03 1.000000000000000000e+01 1.800000000000000000e+01 8.089540039000000434e+03 5.375000000000000000e+01
2.019000000000000000e+03 1.000000000000000000e+01 2.100000000000000000e+01 8.162990234000000783e+03 5.328000000000000114e+01
2.019000000000000000e+03 1.000000000000000000e+01 2.200000000000000000e+01 8.104299804999999651e+03 5.421000000000000085e+01
2.019000000000000000e+03 1.000000000000000000e+01 2.300000000000000000e+01 8.119790039000000434e+03 5.589999999999999858e+01
2.019000000000000000e+03 1.000000000000000000e+01 2.400000000000000000e+01 8.185799804999999651e+03 5.610999999999999943e+01
2.019000000000000000e+03 1.000000000000000000e+01 2.500000000000000000e+01 8.243120117000000391e+03 5.652000000000000313e+01
2.019000000000000000e+03 1.000000000000000000e+01 2.800000000000000000e+01 8.325990234000000783e+03 5.560000000000000142e+01
2.019000000000000000e+03 1.000000000000000000e+01 2.900000000000000000e+01 8.276849609000000783e+03 5.534000000000000341e+01
2.019000000000000000e+03 1.000000000000000000e+01 3.000000000000000000e+01 8.303980469000000085e+03 5.485000000000000142e+01
2.019000000000000000e+03 1.000000000000000000e+01 3.100000000000000000e+01 8.292360351999999693e+03 5.402000000000000313e+01
2.019000000000000000e+03 1.100000000000000000e+01 1.000000000000000000e+00 8.386400390999999217e+03 5.603999999999999915e+01
2.019000000000000000e+03 1.100000000000000000e+01 4.000000000000000000e+00 8.433200194999999439e+03 5.632999999999999829e+01
2.019000000000000000e+03 1.100000000000000000e+01 5.000000000000000000e+00 8.434679688000000169e+03 5.703999999999999915e+01
2.019000000000000000e+03 1.100000000000000000e+01 6.000000000000000000e+00 8.410629882999999609e+03 5.614999999999999858e+01
2.019000000000000000e+03 1.100000000000000000e+01 7.000000000000000000e+00 8.434519530999999915e+03 5.690999999999999659e+01
2.019000000000000000e+03 1.100000000000000000e+01 8.000000000000000000e+00 8.475309569999999439e+03 5.702000000000000313e+01
2.019000000000000000e+03 1.100000000000000000e+01 1.200000000000000000e+01 8.486089844000000085e+03 5.667000000000000171e+01
2.019000000000000000e+03 1.100000000000000000e+01 1.300000000000000000e+01 8.482099609000000783e+03 5.688000000000000256e+01
2.019000000000000000e+03 1.100000000000000000e+01 1.400000000000000000e+01 8.479019530999999915e+03 5.657000000000000028e+01
2.019000000000000000e+03 1.100000000000000000e+01 1.500000000000000000e+01 8.540830078000000867e+03 5.753999999999999915e+01
2.019000000000000000e+03 1.100000000000000000e+01 1.800000000000000000e+01 8.549940430000000561e+03 5.682000000000000028e+01
2.019000000000000000e+03 1.100000000000000000e+01 1.900000000000000000e+01 8.570660155999999915e+03 5.492999999999999972e+01
2.019000000000000000e+03 1.100000000000000000e+01 2.000000000000000000e+01 8.526730469000000085e+03 5.671000000000000085e+01
2.019000000000000000e+03 1.100000000000000000e+01 2.100000000000000000e+01 8.506209961000000476e+03 5.835999999999999943e+01
2.019000000000000000e+03 1.100000000000000000e+01 2.200000000000000000e+01 8.519879882999999609e+03 5.767999999999999972e+01
2.019000000000000000e+03 1.100000000000000000e+01 2.500000000000000000e+01 8.632490234000000783e+03 5.778999999999999915e+01
2.019000000000000000e+03 1.100000000000000000e+01 2.600000000000000000e+01 8.647929688000000169e+03 5.825000000000000000e+01
2.019000000000000000e+03 1.100000000000000000e+01 2.700000000000000000e+01 8.705179688000000169e+03 5.811999999999999744e+01
2.019000000000000000e+03 1.100000000000000000e+01 2.900000000000000000e+01 8.665469726999999693e+03 5.811999999999999744e+01
2.019000000000000000e+03 1.200000000000000000e+01 2.000000000000000000e+00 8.567990234000000783e+03 5.596999999999999886e+01
2.019000000000000000e+03 1.200000000000000000e+01 3.000000000000000000e+00 8.520639648000000307e+03 5.614999999999999858e+01
2.019000000000000000e+03 1.200000000000000000e+01 4.000000000000000000e+00 8.566669921999999133e+03 5.846000000000000085e+01
2.019000000000000000e+03 1.200000000000000000e+01 5.000000000000000000e+00 8.570700194999999439e+03 5.842000000000000171e+01
2.019000000000000000e+03 1.200000000000000000e+01 6.000000000000000000e+00 8.656530273000000307e+03 5.920000000000000284e+01
2.019000000000000000e+03 1.200000000000000000e+01 9.000000000000000000e+00 8.621830078000000867e+03 5.899000000000000199e+01
2.019000000000000000e+03 1.200000000000000000e+01 1.000000000000000000e+01 8.616179688000000169e+03 5.921999999999999886e+01
2.019000000000000000e+03 1.200000000000000000e+01 1.100000000000000000e+01 8.654049805000000561e+03 5.874000000000000199e+01
2.019000000000000000e+03 1.200000000000000000e+01 1.200000000000000000e+01 8.717320313000000169e+03 5.917999999999999972e+01
2.019000000000000000e+03 1.200000000000000000e+01 1.300000000000000000e+01 8.734879882999999609e+03 6.010999999999999943e+01
2.019000000000000000e+03 1.200000000000000000e+01 1.600000000000000000e+01 8.814230469000000085e+03 6.021000000000000085e+01
2.019000000000000000e+03 1.200000000000000000e+01 1.700000000000000000e+01 8.823360351999999693e+03 6.088000000000000256e+01
2.019000000000000000e+03 1.200000000000000000e+01 1.800000000000000000e+01 8.827740234000000783e+03 6.092999999999999972e+01
2.019000000000000000e+03 1.200000000000000000e+01 1.900000000000000000e+01 8.887219726999999693e+03 6.129999999999999716e+01
2.019000000000000000e+03 1.200000000000000000e+01 2.000000000000000000e+01 8.924959961000000476e+03 6.042999999999999972e+01
2.019000000000000000e+03 1.200000000000000000e+01 2.300000000000000000e+01 8.945650390999999217e+03 6.050999999999999801e+01
2.019000000000000000e+03 1.200000000000000000e+01 2.400000000000000000e+01 8.952879882999999609e+03 6.117000000000000171e+01
2.019000000000000000e+03 1.200000000000000000e+01 2.600000000000000000e+01 9.022389648000000307e+03 6.171999999999999886e+01
2.019000000000000000e+03 1.200000000000000000e+01 2.700000000000000000e+01 9.006620117000000391e+03 6.175999999999999801e+01
2.019000000000000000e+03 1.200000000000000000e+01 3.000000000000000000e+01 8.945990234000000783e+03 6.165999999999999659e+01
2.019000000000000000e+03 1.200000000000000000e+01 3.100000000000000000e+01 8.972599609000000783e+03 6.114000000000000057e+01
2.020000000000000000e+03 1.000000000000000000e+00 2.000000000000000000e+00 9.092190430000000561e+03 6.117000000000000171e+01
2.020000000000000000e+03 1.000000000000000000e+00 3.000000000000000000e+00 9.020769530999999915e+03 6.300000000000000000e+01
2.020000000000000000e+03 1.000000000000000000e+00 6.000000000000000000e+00 9.071469726999999693e+03 6.327000000000000313e+01
2.020000000000000000e+03 1.000000000000000000e+00 7.000000000000000000e+00 9.068580078000000867e+03 6.270000000000000284e+01
2.020000000000000000e+03 1.000000000000000000e+00 8.000000000000000000e+00 9.129240234000000783e+03 5.964999999999999858e+01
2.020000000000000000e+03 1.000000000000000000e+00 9.000000000000000000e+00 9.203429688000000169e+03 5.956000000000000227e+01
2.020000000000000000e+03 1.000000000000000000e+00 1.000000000000000000e+01 9.178860351999999693e+03 5.902000000000000313e+01
2.020000000000000000e+03 1.000000000000000000e+00 1.300000000000000000e+01 9.273929688000000169e+03 5.817000000000000171e+01
2.020000000000000000e+03 1.000000000000000000e+00 1.400000000000000000e+01 9.251330078000000867e+03 5.834000000000000341e+01
2.020000000000000000e+03 1.000000000000000000e+00 1.500000000000000000e+01 9.258700194999999439e+03 5.785999999999999943e+01
2.020000000000000000e+03 1.000000000000000000e+00 1.600000000000000000e+01 9.357129882999999609e+03 5.852000000000000313e+01
2.020000000000000000e+03 1.000000000000000000e+00 1.700000000000000000e+01 9.388940430000000561e+03 5.854999999999999716e+01
2.020000000000000000e+03 1.000000000000000000e+00 2.100000000000000000e+01 9.370809569999999439e+03 5.825000000000000000e+01
2.020000000000000000e+03 1.000000000000000000e+00 2.200000000000000000e+01 9.383769530999999915e+03 5.675999999999999801e+01
2.020000000000000000e+03 1.000000000000000000e+00 2.300000000000000000e+01 9.402480469000000085e+03 5.550999999999999801e+01
2.020000000000000000e+03 1.000000000000000000e+00 2.400000000000000000e+01 9.314910155999999915e+03 5.409000000000000341e+01
2.020000000000000000e+03 1.000000000000000000e+00 2.700000000000000000e+01 9.139309569999999439e+03 5.309000000000000341e+01
2.020000000000000000e+03 1.000000000000000000e+00 2.800000000000000000e+01 9.269679688000000169e+03 5.332999999999999829e+01
2.020000000000000000e+03 1.000000000000000000e+00 2.900000000000000000e+01 9.275160155999999915e+03 5.328999999999999915e+01
