data	cotacao
21-11-2017	1.174
20-11-2017	1.173
17-11-2017	1.180
16-11-2017	1.177
15-11-2017	1.179
14-11-2017	1.180
13-11-2017	1.167
10-11-2017	1.167
09-11-2017	1.164
08-11-2017	1.160
07-11-2017	1.159
06-11-2017	1.161
03-11-2017	1.161
02-11-2017	1.166
01-11-2017	1.162
31-10-2017	1.165
30-10-2017	1.165
27-10-2017	1.161
26-10-2017	1.165
25-10-2017	1.181
24-10-2017	1.176
23-10-2017	1.175
20-10-2017	1.179
19-10-2017	1.185
18-10-2017	1.179
17-10-2017	1.177
16-10-2017	1.180
13-10-2017	1.182
12-10-2017	1.183
11-10-2017	1.186
10-10-2017	1.181
09-10-2017	1.174
06-10-2017	1.173
05-10-2017	1.171
04-10-2017	1.176
03-10-2017	1.174
02-10-2017	1.173
29-09-2017	1.181
28-09-2017	1.179
27-09-2017	1.174
26-09-2017	1.179
25-09-2017	1.185
22-09-2017	1.195
21-09-2017	1.194
20-09-2017	1.189
19-09-2017	1.199
18-09-2017	1.195
15-09-2017	1.194
14-09-2017	1.192
13-09-2017	1.189
12-09-2017	1.197
11-09-2017	1.195
08-09-2017	1.204
07-09-2017	1.202
06-09-2017	1.192
05-09-2017	1.191
04-09-2017	1.190
01-09-2017	1.186
31-08-2017	1.191
30-08-2017	1.188
29-08-2017	1.197
28-08-2017	1.198
25-08-2017	1.193
24-08-2017	1.180
23-08-2017	1.181
22-08-2017	1.176
21-08-2017	1.182
18-08-2017	1.176
17-08-2017	1.172
16-08-2017	1.177
15-08-2017	1.174
14-08-2017	1.178
11-08-2017	1.182
10-08-2017	1.177
09-08-2017	1.176
08-08-2017	1.175
07-08-2017	1.180
04-08-2017	1.177
03-08-2017	1.187
02-08-2017	1.186
01-08-2017	1.180
31-07-2017	1.184
28-07-2017	1.175
27-07-2017	1.168
26-07-2017	1.173
25-07-2017	1.165
24-07-2017	1.164
21-07-2017	1.166
20-07-2017	1.163
19-07-2017	1.152
18-07-2017	1.156
17-07-2017	1.148
14-07-2017	1.147
13-07-2017	1.140
12-07-2017	1.141
11-07-2017	1.147
10-07-2017	1.140
07-07-2017	1.140
06-07-2017	1.142
05-07-2017	1.135
04-07-2017	1.135
03-07-2017	1.136
30-06-2017	1.143
29-06-2017	1.144
